,지역,G,전입전출 기울기,문화공간수 기울기,지하철 승하차 수,사업체 창업률,사업체 수,지역내총생산
0,강남구,1,-54.369852736871366,0.14047619047619048,294.2178520075963,-0.10464285714285716,2650.5,2436932.928571428
1,강동구,0,-16.65098638510698,0.0,167.40435227889313,-0.5139285714285715,183.14285714285717,254832.1071428571
2,강북구,0,-26.075771047513207,0.011904761904761906,549.9435770482909,-0.4503571428571428,-125.28571428571428,35319.85714285714
3,강서구,0,-45.88541261461518,0.02142857142857143,199.76197843190457,-0.21107142857142847,851.6071428571428,568781.9642857142
4,관악구,1,-12.093914976382331,0.0,841.4593461747149,-0.6075000000000002,48.07142857142858,146639.10714285713
5,광진구,0,-17.216032231175333,-0.05238095238095238,308.7801458220293,-0.5425,8.285714285714285,117758.10714285713
6,구로구,0,-33.440566824117816,-0.011904761904761906,203.9533138903961,-0.28392857142857125,749.1428571428571,359123.9285714285
7,금천구,0,-2.046874131703253,0.019047619047619046,313.951457542051,-0.3985714285714284,904.285714285714,525510.6785714285
8,노원구,0,-43.337232564601294,0.019047619047619046,64.43619641888226,-0.4346428571428569,218.14285714285708,175778.1785714285
9,도봉구,0,-25.946485134759666,0.04047619047619048,280.15508749321754,-0.3025,157.28571428571425,82701.24999999999
10,동대문구,0,-17.78341205890526,0.05714285714285716,-54.47244302767227,-0.2939285714285716,343.82142857142856,232566.6071428571
11,동작구,0,-14.768130036121144,0.019047619047619046,-230.03917661421607,-0.1953571428571428,-27.249999999999996,58343.99999999999
12,마포구,1,-37.12345095859962,0.04285714285714286,339.81833016820394,-0.17321428571428565,1060.7857142857142,682307.0714285711
13,서대문구,1,-10.70436232286747,0.0880952380952381,138.47981890938686,-0.14,263.67857142857133,285607.64285714284
14,서초구,0,-6.935370936371216,0.13809523809523813,373.52378594682574,-0.4046428571428572,1242.8214285714284,991281.1071428569
15,성동구,1,0.7498749652681254,0.1,91.77436991318504,0.06821428571428571,640.1071428571427,471473.8214285713
16,성북구,0,-37.80439010836344,0.06904761904761907,206.77941535539884,-0.5867857142857142,-117.53571428571428,130164.17857142855
17,송파구,0,-5.9244512364545745,-0.014285714285714287,245.5364032826913,-0.1710714285714284,611.9285714285712,774448.7499999999
18,양천구,0,-35.540955821061424,-0.026190476190476198,142.18909997287028,-0.4860714285714287,132.10714285714286,97533.49999999996
19,영등포구,1,-5.14851347596555,0.007142857142857145,-180.26851465002707,-0.34142857142857136,468.21428571428567,646959.1428571427
20,용산구,1,-7.983801055848846,0.0619047619047619,20.410070537167663,-0.20749999999999996,261.892857142857,297439.7142857142
21,은평구,0,-37.074465129202565,0.033333333333333326,207.32338714053176,-0.6589285714285713,261.57142857142856,108216.03571428571
22,종로구,1,-7.29316476799111,0.9119047619047619,356.3160906131308,-0.2407142857142857,338.07142857142844,729109.3928571428
23,중구,1,-3.7676854681856087,-0.04047619047619048,338.932925257732,-0.02857142857142847,361.3214285714284,589932.4999999998
24,중랑구,0,-44.42792442345097,0.0,94.38791372761801,-0.4196428571428571,150.28571428571422,114558.32142857142
